Designator,Mid X,Mid Y,Rotation,Layer
C1,147.035,-82.98,0.0,top
C10,147.155,-74.91,0.0,top
C11,129.52,-93.635,90.0,top
C12,131.43,-97.94,270.0,top
C13,139.635,-104.53,0.0,top
C14,147.085,-79.84,180.0,top
C15,131.91,-86.42,180.0,top
C16,130.84,-75.16,0.0,top
C17,139.67,-106.04,0.0,top
C18,142.52,-96.685,270.0,top
C2,129.5,-96.595,270.0,top
C3,145.53,-77.175,90.0,top
C4,150.28,-76.975,90.0,top
C5,139.68,-92.4,0.0,top
C6,149.95,-92.175,270.0,top
C7,142.245,-89.82,180.0,top
C8,141.965,-84.55,0.0,top
C9,145.16,-106.115,270.0,top
D1,149.015,-85.55,180.0,top
D2,144.02,-77.6525,90.0,top
D3,131.9375,-88.01,0.0,top
J1,137.88,-74.425,180.0,top
J3,139.55,-94.67,0.0,top
J8,146.32,-99.06,0.0,bottom
R1,150.39,-83.07,270.0,top
R10,138.965,-82.96,0.0,top
R11,148.25,-106.085,90.0,top
R12,138.955,-84.51,0.0,top
R13,146.73,-106.105,90.0,top
R14,150.4,-80.055,270.0,top
R15,139.715,-101.45,180.0,top
R16,131.92,-84.89,0.0,top
R17,139.695,-103.0,0.0,top
R18,132.53,-82.435,90.0,top
R2,139.68,-80.695,90.0,top
R3,134.055,-79.99,0.0,top
R4,145.585,-85.56,0.0,top
R5,129.67,-101.64,270.0,top
R6,147.71,-91.43,0.0,top
R7,151.48,-89.105,90.0,top
R8,151.48,-92.165,90.0,top
R9,144.515,-91.39,0.0,top
SW1,147.04,-81.75,90.0,bottom
SW2,146.05,-99.06,0.0,bottom
SW3,133.35,-99.06,0.0,bottom
SW5,133.35,-81.28,0.0,bottom
U1,134.459,-93.8461,135.0,top
U2,135.149999,-83.8326,90.0,top
U3,147.9,-77.27,180.0,top
U4,130.815,-78.0125,270.0,top
U5,146.045,-98.895,0.0,top
U6,133.3,-103.3025,180.0,top
