Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14",1206,2,16V/47uF,
"C10, C11, C12, C13, C15, C16, C17, C18, C2, C3, C4, C5, C6, C7, C8, C9",0603,16,1uF,
D1,0805,1,LED,
"D2, D3",D_SOD-323,2,1N5819WS,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105-GF-A-120,
J3,PinHeader_1x02_P1.00mm_Vertical,1,Conn_01x02,
J8,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_ST_STDC14,
"R1, R10, R11, R12, R13, R14, R15, R17, R5, R6, R7, R8, R9",0603,13,10k,
R16,0603,1,220R,
R18,0603,1,20k,
"R2, R3",0603,2,5k1,
R4,0603,1,1k,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
"SW2, SW3, SW5",PB_86_A0,3,PB_86_A1,
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32L432KBU6,
U2,RSE10,1,TS3USB221ARSER,
U3,SOT-353_SC-70-5,1,MIC5365-3.3YC5,
U4,SOT-23-5,1,SN74LV1T34DBVR,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,M95M04-DRMN6TP,
U6,TSSOP-14_4.4x5mm_P0.65mm,1,SN74LV14APWR,
